0.002679, -0.4473, 55.00, 547.5
0.005233, -0.4260, 19.00, 570.0
0.01421, -0.3894, 132.0, 2.368e+4
0.02521, -0.3458, 199.0, 3.607e+4
0.03785, -0.2982, 211.0, 4.357e+4
0.05045, -0.2505, 200.0, 3.636e+4
0.06282, -0.2040, 198.0, 3.600e+4
0.07512, -0.1575, 202.0, 3.832e+4
0.08755, -0.1107, 199.0, 3.618e+4
0.09979, -0.06440, 198.0, 3.601e+4
0.1122, -0.01777, 204.0, 3.937e+4
0.1234, 0.02627, 146.0, 2.524e+4
0.1327, 0.06424, 32.00, 1972
0.1392, 0.08083, 78.00, 1.277e+4
0.1497, 0.1234, 178.0, 2.944e+4
0.1615, 0.1685, 204.0, 3.888e+4
0.1738, 0.2147, 202.0, 3.832e+4
0.1862, 0.2618, 204.0, 3.877e+4
0.1986, 0.3083, 195.0, 3.405e+4
0.2106, 0.3537, 196.0, 3.479e+4
0.2229, 0.4001, 201.0, 3.728e+4
0.2351, 0.4462, 194.0, 3.394e+4
0.2473, 0.4921, 198.0, 3.618e+4
0.2597, 0.5389, 203.0, 3.832e+4
0.2719, 0.5853, 194.0, 3.522e+4
0.2826, 0.6284, 96.00, 1.531e+4
0.2895, 0.6465, 18.00, 484.5
0.2902, 0.6598, 5.000, 10.00
0.2985, 0.6832, 133.0, 2.509e+4
0.3093, 0.7263, 190.0, 3.176e+4
0.3216, 0.7725, 209.0, 4.163e+4
0.3340, 0.8194, 195.0, 3.389e+4
0.3400, 0.2824, 441.0, 5.621e+4
0.3409, 0.3535, 3.000, 2.000
0.3415, 0.3296, 181.0, 2.816e+4
0.3427, 0.2555, 27.00, 221.5
0.3431, 0.3816, 195.0, 3.411e+4
0.3446, 0.4278, 200.0, 3.756e+4
0.3456, 0.5956, 21.00, 89.90
0.3460, 0.4645, 97.00, 5344
0.3462, 0.8656, 204.0, 3.931e+4
0.3462, 0.4898, 72.00, 2554
0.3465, 0.2304, 174.0, 2.478e+4
0.3477, 0.5241, 207.0, 4.308e+4
0.3494, 0.5736, 214.0, 4.283e+4
0.3503, 0.6187, 232.0, 5.106e+4
0.3505, 0.1971, 114.0, 7162
0.3541, 0.1708, 95.00, 4355
0.3542, 0.6036, 100.0, 1804
0.3563, 0.1084, 29.00, 167.6
0.3577, 0.1327, 264.0, 6.067e+4
0.3578, 0.6699, 206.0, 4.074e+4
0.3588, 0.9128, 204.0, 3.850e+4
0.3631, 0.7173, 194.0, 3.408e+4
0.3651, 0.1164, 91.00, 1510
0.3684, 0.09038, 211.0, 4.142e+4
0.3684, 0.7648, 206.0, 4.073e+4
0.3709, 0.8148, 158.0, 1.491e+4
0.3734, 0.9668, 385.0, 7.602e+4
0.3756, 0.8063, 206.0, 1.388e+4
0.3768, 0.06443, 30.00, 217.2
0.3796, 0.8602, 202.0, 3.792e+4
0.3831, 0.04265, 167.0, 2.097e+4
0.3842, 0.9919, 160.0, 1.549e+4
0.3865, 0.9159, 436.0, 7.703e+4
0.3900, 0.9558, 204.0, 3.874e+4
0.3913, 0.01668, 70.00, 1766
0.3958, 0.9969, 263.0, 1.750e+4
0.3965, -0.002410, 344.0, 2.312e+4
0.4110, -0.03005, 168.0, 1.677e+4
0.4189, -0.04788, 28.00, 168.0
0.4297, -0.07292, 303.0, 5.264e+4
0.4416, -0.08664, 188.0, 1.260e+4
0.4516, -0.1011, 17.00, 72.94
0.4634, -0.1136, 146.0, 1.420e+4
0.4824, -0.1355, 147.0, 1.427e+4
0.4959, -0.1507, 52.00, 827.2
0.5053, -0.1623, 78.00, 2453
0.5229, -0.1838, 264.0, 3.630e+4
0.5385, -0.1954, 246.0, 2.490e+4
0.5555, -0.2087, 72.00, 1242
0.5655, -0.2180, 77.00, 1836
0.5807, -0.2294, 165.0, 1.245e+4
0.6002, -0.2446, 171.0, 1.420e+4
0.6224, -0.2624, 247.0, 2.482e+4
0.6264, -0.2765, 14.00, 42.36
0.6313, -0.2773, 11.00, 24.91
0.6364, -0.2698, 143.0, 6310
0.6469, -0.2801, 32.00, 404.7
0.6614, -0.2882, 135.0, 9818
0.6822, -0.3014, 156.0, 1.307e+4
0.7027, -0.3146, 184.0, 1.498e+4
0.7244, -0.3281, 263.0, 2.166e+4
0.7286, -0.3408, 6.000, 14.17
0.7328, -0.3413, 3.000, 2.000
0.7407, -0.3351, 204.0, 1.588e+4
0.7438, -0.3436, 15.00, 98.67
0.7522, -0.3463, 9.000, 17.78
0.7573, -0.3421, 8.000, 25.50
0.7653, -0.3505, 183.0, 1.279e+4
0.7862, -0.3602, 224.0, 2.018e+4
0.8073, -0.3698, 174.0, 1.031e+4
0.8156, -0.3779, 14.00, 34.64
0.8202, -0.3803, 30.00, 170.3
0.8323, -0.3826, 268.0, 2.454e+4
0.8478, -0.3881, 208.0, 1.498e+4
0.8563, -0.3949, 39.00, 310.4
0.8615, -0.3961, 4.000, 5.000
0.8710, -0.3992, 51.00, 665.4
0.8724, -0.3940, 119.0, 7894
0.8805, -0.4023, 8.000, 12.00
0.8941, -0.4028, 217.0, 1.806e+4
0.9166, -0.4096, 211.0, 1.594e+4
0.9408, -0.4162, 257.0, 2.240e+4
0.9465, -0.4265, 13.00, 38.00
0.9524, -0.4275, 9.000, 14.44
0.9556, -0.4186, 86.00, 1510
